name,datatype,mode
B10011TE.Out_Engg,number,r
B11001TE.Out_Engg,number,r
B12001TE.Out_Engg,number,r
B11001WT.Out_Engg,number,r
B12001WT.Out_Engg,number,r
C11001TE.Out_Engg,number,r
C12001TE.Out_Engg,number,r
C10011TE.Out_Engg,number,r
C11001LT.Out_Engg,number,r
C12001LT.Out_Engg,number,r
B10021FT.Out_Engg,number,r
C20011FT.Out_Engg,number,r
C30021FT.Out_Engg,number,r
E10051TE.Out_Engg,number,r
E11001LT.Out_Engg,number,r
E12001LT.Out_Engg,number,r
E13001LT.Out_Engg,number,r
E14001LT.Out_Engg,number,r
E15001LT.Out_Engg,number,r
E16001LT.Out_Engg,number,r
E17001LT.Out_Engg,number,r
E18001LT.Out_Engg,number,r
E10011FT.Out_Engg,number,r
E10021FT.Out_Engg,number,r
E10031FT.Out_Engg,number,r
E10041FT.Out_Engg,number,r
E21001TE.Out_Engg,number,r
E22001TE.Out_Engg,number,r
E23001TE.Out_Engg,number,r
E24001TE.Out_Engg,number,r
E25001TE.Out_Engg,number,r
N11001TE.Out_Engg,number,r
N21001TE.Out_Engg,number,r
E21001LT.Out_Engg,number,r
Q11001TE.Out_Engg,number,r
Q12001TE.Out_Engg,number,r
Q13001TE.Out_Engg,number,r
Q14001TE.Out_Engg,number,r
Q15001TE.Out_Engg,number,r
Q16001TE.Out_Engg,number,r
Q17001TE.Out_Engg,number,r
Q18001TE.Out_Engg,number,r
Q19001TE.Out_Engg,number,r
Q11001LT.Out_Engg,number,r
Q12001LT.Out_Engg,number,r
Q13001LT.Out_Engg,number,r
Q14001LT.Out_Engg,number,r
Q15001LT.Out_Engg,number,r
Q16001LT.Out_Engg,number,r
Q17001LT.Out_Engg,number,r
Q18001LT.Out_Engg,number,r
Q19001LT.Out_Engg,number,r
D40011TE.Out_Engg,number,r
D40012TE.Out_Engg,number,r
D40013TE.Out_Engg,number,r
D40014TE.Out_Engg,number,r
D40015TE.Out_Engg,number,r
D40016TE.Out_Engg,number,r
D40017TE.Out_Engg,number,r
D40011FT.Out_Engg,number,r
T20011TE.Out_Engg,number,r
T20012TE.Out_Engg,number,r
T20013TE.Out_Engg,number,r
T20021TE.Out_Engg,number,r
T20022TE.Out_Engg,number,r
T20023TE.Out_Engg,number,r
C21001TE.Out_Engg,number,r
T20011CT.Out_Engg,number,r
T20021CT.Out_Engg,number,r
T20011FT.Out_Engg,number,r
T20021FT.Out_Engg,number,r
